# function,file,start_line,end_line,category,vulnerable,CWE
# ===== GORILLA HANDLERS (gorilla_handlers.go) =====
FileChannel.AppendToFile,internal/channels/file.go,99,109,pathtraver,true,22
FileChannel.ReadLogFile,internal/channels/file.go,113,117,pathtraver,true,22
FileChannel.DeleteLogFile,internal/channels/file.go,121,124,pathtraver,true,22
FileChannel.CompressLogs,internal/channels/file.go,128,133,cmdi,true,78
FileChannel.RotateLogs,internal/channels/file.go,137,141,cmdi,true,78
FileChannel.SendToSyslog,internal/channels/file.go,145,150,cmdi,true,78
FileChannel.WriteToNamedPipe,internal/channels/file.go,154,164,pathtraver,true,22
FileChannel.CleanOldLogs,internal/channels/file.go,168,173,cmdi,true,78
FileChannel.SyncToRemote,internal/channels/file.go,177,182,cmdi,true,78
FileChannel.TailLogFile,internal/channels/file.go,186,192,cmdi,true,78
FileChannel.GrepLogFile,internal/channels/file.go,196,202,cmdi,true,78
# ===== CHANNELS - email.go =====
EmailChannel.Send,internal/channels/email.go,40,89,xss,true,79
EmailChannel.SendViaMailCommand,internal/channels/email.go,133,152,cmdi,true,78
EmailChannel.SendViaSendmail,internal/channels/email.go,156,161,cmdi,true,78
# ===== CHANNELS - slack.go =====
SlackChannel.Send,internal/channels/slack.go,61,105,ssrf,true,918
SlackChannel.SendWithTemplate,internal/channels/slack.go,109,129,xss,true,79
SlackChannel.SendBlockKit,internal/channels/slack.go,133,159,ssrf,true,918
SlackChannel.PostToChannel,internal/channels/slack.go,163,167,cmdi,true,78
SlackChannel.UploadFile,internal/channels/slack.go,171,176,cmdi,true,78
# ===== TEMPLATES (renderer.go) =====
Renderer.Render,internal/templates/renderer.go,31,62,pathtraver,true,22
Renderer.RenderString,internal/templates/renderer.go,66,80,xss,true,79
Renderer.RenderText,internal/templates/renderer.go,84,97,xss,true,79
Renderer.RenderWithIncludes,internal/templates/renderer.go,179,204,pathtraver,true,22
Renderer.SaveTemplate,internal/templates/renderer.go,260,269,pathtraver,true,22
Renderer.EvalExpression,internal/templates/renderer.go,292,302,xss,true,79
# ===== MIDDLEWARE (middleware.go) =====
LoggingMiddleware,internal/api/middleware.go,15,41,loginjection,true,117
CORSMiddleware,internal/api/middleware.go,54,76,xss,true,79
APIKeyMiddleware,internal/api/middleware.go,79,105,loginjection,true,117
